Id,Label,Count
吕文德,吕文德,48
穆念慈,穆念慈,336
张十五,张十五,12
郭啸天,郭啸天,87
杨铁心,杨铁心,257
黄老邪,黄老邪,168
欧阳克,欧阳克,498
灵智上人,灵智上人,105
沙通天,沙通天,182
彭连虎,彭连虎,271
完颜洪烈,完颜洪烈,346
蓉儿,蓉儿,354
柯镇恶,柯镇恶,584
华筝,华筝,190
彭长老,彭长老,98
杨康,杨康,423
洪帮主,洪帮主,56
侯通海,侯通海,179
梁子翁,梁子翁,223
宋德方,宋德方,25
琴儿,琴儿,34
李萍,李萍,84
博尔忽,博尔忽,24
简长老,简长老,82
傻姑,傻姑,267
程瑶迦,程瑶迦,143
陆冠英,陆冠英,271
包惜弱,包惜弱,190
南希仁,南希仁,111
陆乘风,陆乘风,65
桑昆,桑昆,94
裘千丈,裘千丈,36
柯大侠,柯大侠,17
赵志敬,赵志敬,483
朱聪,朱聪,327
韩宝驹,韩宝驹,182
张阿生,张阿生,76
全金发,全金发,128
韩小莹,韩小莹,191
梅超风,梅超风,487
乔寨主,乔寨主,7
哑梢公,哑梢公,15
神算子,神算子,5
裘铁掌,裘铁掌,7
陈玄风,陈玄风,74
冯默风,冯默风,48
欧阳公子,欧阳公子,8
梁长老,梁长老,50
瘦丐,瘦丐,31
胖丐,胖丐,6
黎生,黎生,55
余兆兴,余兆兴,11
曲傻姑,曲傻姑,2
段天德,段天德,122
穆姑娘,穆姑娘,13
枯木,枯木,32
大头鬼,大头鬼,67
钱青健,钱青健,14
吴青烈,吴青烈,9
范蠡,范蠡,120
汤祖德,汤祖德,14
简管家,简管家,33
曲三,曲三,35
都史,都史,80
者勒米,者勒米,12
完颜洪熙,完颜洪熙,39
忽都虎,忽都虎,8
盖运聪,盖运聪,8
姜文,姜文,2
焦木和尚,焦木和尚,7
李三,李三,29
史仲俊,史仲俊,16
霍元龙,霍元龙,23
陈达海,陈达海,106
上官虹,上官虹,15
李文秀,李文秀,441
丁同,丁同,23
苏鲁克,苏鲁克,147
苏普,苏普,230
车尔库,车尔库,99
阿曼,阿曼,164
马家骏,马家骏,16
张信,张信,7
张朝唐,张朝唐,145
张康,张康,45
杨鹏举,杨鹏举,100
孙仲寿,孙仲寿,101
朱安国,朱安国,28
李自成,李自成,236
刘芳亮,刘芳亮,15
曹化淳,曹化淳,87
黄须人,黄须人,6
白脸人,白脸人,9
田见秀,田见秀,3
崔秋山,崔秋山,180
倪浩,倪浩,24
应松,应松,31
罗大千,罗大千,11
袁承志,袁承志,3038
祖大寿,祖大寿,86
安大娘,安大娘,102
安小慧,安小慧,66
胡老三,胡老三,21
袁夫人,袁夫人,15
穆人清,穆人清,172
木桑道长,木桑道长,10
夏雪宜,夏雪宜,7
张春九,张春九,19
温仪,温仪,75
李岩,李岩,77
红娘子,红娘子,21
龙德邻,龙德邻,20
沙老大,沙老大,26
荣彩,荣彩,51
温正,温正,46
小菊,小菊,6
温方山,温方山,69
温方悟,温方悟,41
温方达,温方达,89
温方义,温方义,59
温方施,温方施,24
温南扬,温南扬,50
崔希敏,崔希敏,100
温青青,温青青,7
黄真,黄真,104
吕七,吕七,2
归辛树,归辛树,175
冯难敌,冯难敌,53
马公子,马公子,30
杨景亭,杨景亭,6
郑起云,郑起云,26
史秉光,史秉光,8
史秉文,史秉文,4
黎刚,黎刚,10
闵子华,闵子华,163
焦公礼,焦公礼,139
刘培生,刘培生,63
万里风,万里风,12
罗立如,罗立如,45
多尔衮,多尔衮,33
焦宛儿,焦宛儿,197
吴平,吴平,15
归二娘,归二娘,177
归钟,归钟,67
洪胜海,洪胜海,200
黄二毛子,黄二毛子,8
程青竹,程青竹,147
阿九,阿九,214
秦栋,秦栋,5
谭文理,谭文理,1
水鉴,水鉴,3
孟伯飞,孟伯飞,51
丁游,丁游,7
胡桂南,胡桂南,103
孟铮,孟铮,18
孟铸,孟铸,7
张若谷,张若谷,5
冯同知,冯同知,12
董开山,董开山,22
钱通四,钱通四,22
彼得,彼得,76
若克琳,若克琳,17
安剑清,安剑清,19
侯飞文,侯飞文,8
范文程,范文程,11
宁完我,宁完我,7
鲍承先,鲍承先,11
玉真子,玉真子,133
单铁生,单铁生,74
沙广天,沙广天,1
齐云,齐云,35
五毒教,五毒教,116
何铁手,何铁手,307
何红药,何红药,146
潘秀达,潘秀达,14
岑其斯,岑其斯,6
水云道人,水云道人,11
长平公主,长平公主,9
何惕守,何惕守,128
刘宗敏,刘宗敏,18
宋献策,宋献策,14
陈圆圆,陈圆圆,178
吴三桂,吴三桂,991
冯不破,冯不破,14
冯不摧,冯不摧,20
石骏,石骏,13
韦小宝,韦小宝,9913
九难,九难,145
教士,教士,43
黄宗羲,黄宗羲,27
陆无双,陆无双,575
李莫愁,李莫愁,1016
陆二娘,陆二娘,22
武三娘,武三娘,58
双儿,双儿,707
过儿,过儿,277
鹿清笃,鹿清笃,57
霍都王子,霍都王子,21
霍都,霍都,256
达尔巴,达尔巴,172
龙姑娘,龙姑娘,90
崔志方,崔志方,11
孙婆婆,孙婆婆,185
张志光,张志光,15
洪凌波,洪凌波,136
申志凡,申志凡,21
耶律晋,耶律晋,37
耶律燕,耶律燕,46
藏边五丑,藏边五丑,20
金轮法王,金轮法王,376
王十三,王十三,10
鲁帮主,鲁帮主,20
雷猛,雷猛,3
点苍渔隐,点苍渔隐,18
尼摩星,尼摩星,229
马光佐,马光佐,139
子聪,子聪,10
公孙绿萼,公孙绿萼,90
樊一翁,樊一翁,167
公孙谷主,公孙谷主,147
公孙止,公孙止,234
裘千尺,裘千尺,325
柔儿,柔儿,17
张二叔,张二叔,1
鄂尔多,鄂尔多,10
郭破虏,郭破虏,20
萨多,萨多,11
赵道长,赵道长,2
龙儿,龙儿,57
公孙夫人,公孙夫人,1
丁大全,丁大全,23
陈大方,陈大方,10
王惟忠,王惟忠,5
小王将军,小王将军,8
西山一窟鬼,西山一窟鬼,68
煞神鬼,煞神鬼,11
史伯威,史伯威,31
史仲猛,史仲猛,21
史叔刚,史叔刚,34
史季强,史季强,30
丧门鬼,丧门鬼,8
笑脸鬼,笑脸鬼,20
催命鬼,催命鬼,2
俏鬼,俏鬼,5
讨债鬼,讨债鬼,4
小棒头,小棒头,7
人厨子,人厨子,10
百草仙,百草仙,10
圣因师太,圣因师太,8
张一氓,张一氓,7
九死生,九死生,2
韩无垢,韩无垢,4
童大海,童大海,15
蓝天和,蓝天和,9
